27,Luol Deng,SF,28,TOT,39,39,35.6,6.4,14.4,.446,0.9,2.9,.321,5.5,11.5,.477,3.8,4.7,.795,1.7,4.3,6.1,3.1,1.1,0.2,2.2,2.2,17.5
28,Trevor Ariza,SF,28,WAS,46,46,35.6,4.9,11.1,.438,2.2,5.8,.383,2.6,5.3,.498,2.1,2.7,.772,1.2,4.8,6.1,2.7,1.8,0.3,1.7,2.3,14.0
29,Josh Smith,SF,28,DET,51,50,35.5,6.5,15.4,.419,0.8,3.5,.229,5.6,11.9,.475,2.3,4.0,.566,1.5,5.5,7.0,3.5,1.7,1.4,2.6,2.4,16.0
30,Lance Stephenson,SG,23,IND,49,49,35.3,5.7,11.2,.505,1.0,2.8,.345,4.7,8.3,.560,1.8,2.6,.698,1.4,5.9,7.2,5.2,0.8,0.1,2.8,2.5,14.1
31,Kyrie Irving,PG,21,CLE,49,49,35.2,7.8,18.2,.428,1.8,4.9,.365,6.0,13.3,.452,4.0,4.8,.850,0.7,2.5,3.2,6.3,1.3,0.3,2.7,2.4,21.4
32,Evan Turner,SF,25,PHI,52,52,35.0,6.6,15.4,.431,0.7,2.5,.287,5.9,12.9,.458,3.5,4.2,.831,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,17.4
33,Rudy Gay,SF,27,TOT,46,46,34.7,7.4,16.2,.455,1.0,2.7,.352,6.4,13.5,.476,4.1,5.0,.822,1.5,4.7,6.2,2.8,1.4,0.9,3.1,2.3,19.8
34,Goran Dragic,SG,27,PHO,48,47,34.6,7.1,14.0,.508,1.5,3.7,.410,5.6,10.3,.543,4.5,5.8,.784,1.0,2.5,3.5,6.2,1.4,0.2,2.9,2.5,20.3
35,Zach Randolph,PF,32,MEM,49,49,34.5,7.0,15.4,.452,0.0,0.2,.000,7.0,15.2,.458,3.5,4.7,.750,3.3,7.2,10.5,2.6,0.6,0.3,2.5,2.7,17.4
36,Mike Conley,PG,26,MEM,43,43,34.5,6.7,14.7,.458,1.5,4.2,.369,5.2,10.5,.493,3.1,3.7,.841,0.5,2.1,2.7,6.3,1.6,0.2,1.9,1.9,18.0
37,Michael Carter-Williams,PG,22,PHI,41,41,34.5,6.1,15.6,.395,1.0,3.4,.291,5.1,12.1,.425,3.8,5.4,.701,1.5,3.9,5.4,6.4,2.1,0.7,3.6,2.9,17.1
